url,label
https://google.com,0
https://facebook.com,0
https://amazon.in,0
https://github.com,0
https://stackoverflow.com,0
https://microsoft.com,0
https://apple.com,0
https://wikipedia.org,0
https://linkedin.com,0
https://youtube.com,0
http://paypal-login-security.com,1
http://verify-bank-account.com,1
http://login-facebook-secure.com,1
http://update-paypal-account.com,1
http://free-money-now.com,1
http://winner-prize.xyz,1
http://secure-login-update.com,1
http://account-verify-now.com,1
http://bank-login-security.com,1
http://signin-paypal-update.com,1
